Age,Gender,Weight_kg,Height_cm,Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_Liters,Workout_Frequency_Days,Experience_Level,BMI,Duration_Minutes,Calories_Per_Min
46,Female,74.9,153.0,179,151,66,883.0,HIIT,33.9,2.1,4,2,32.0,78,11.32
32,Female,68.1,166.0,167,122,54,677.0,Cardio,33.4,2.3,4,2,24.71,67,10.1
25,Male,53.2,170.0,190,164,56,532.0,Fuerza,28.8,2.1,3,1,18.41,35,15.2
38,Male,46.1,179.0,188,158,68,556.0,Fuerza,29.2,2.8,3,1,14.39,38,14.63
56,Female,58.0,168.0,168,156,74,1116.0,HIIT,15.5,2.7,5,3,20.55,95,11.75
36,Male,70.3,172.0,174,169,73,1385.0,Cardio,21.3,2.3,3,2,23.76,89,15.56
40,Female,69.7,151.0,189,141,64,895.0,Cardio,30.6,1.9,3,2,30.57,76,11.78
28,Male,121.7,194.0,185,127,52,719.0,Fuerza,28.9,2.6,4,2,32.34,62,11.6
28,Male,101.8,184.0,169,136,64,808.0,Cardio,29.7,2.7,3,1,30.07,65,12.43
41,Male,120.8,167.0,188,146,54,593.0,HIIT,20.5,3.0,2,1,43.31,49,12.1
53,Male,51.7,170.0,175,152,72,865.0,HIIT,23.6,3.5,3,2,17.89,69,12.54
57,Male,112.5,161.0,195,165,61,1013.0,Cardio,22.1,2.7,3,2,43.4,74,13.69
41,Male,94.5,200.0,179,136,69,794.0,HIIT,27.6,3.7,3,1,23.62,71,11.18
39,Female,42.5,175.0,181,131,52,740.0,Fuerza,26.2,2.1,2,1,13.88,68,10.88
19,Female,64.0,153.0,166,167,58,1111.0,HIIT,29.8,2.3,3,2,27.34,80,13.89
41,Female,43.8,177.0,182,165,58,884.0,Cardio,31.9,1.6,3,1,13.98,71,12.45
47,Female,66.8,175.0,199,146,56,742.0,Fuerza,32.8,2.5,3,2,21.81,68,10.91
55,Female,75.2,167.0,188,167,51,1030.0,HIIT,25.2,2.2,2,1,26.96,82,12.56
19,Male,89.0,177.0,175,127,72,1048.0,Fuerza,28.9,3.7,4,2,28.41,90,11.64
38,Male,71.9,177.0,197,142,72,875.0,Cardio,25.7,3.1,2,1,22.95,67,13.06
39,Female,64.3,169.0,190,148,58,925.0,HIIT,26.9,1.9,4,2,22.51,75,12.33
44,Male,65.2,180.0,192,139,68,502.0,HIIT,27.2,2.7,2,1,20.12,44,11.41
59,Male,53.9,175.0,168,135,69,989.0,Fuerza,21.6,2.8,4,2,17.6,89,11.11
